ID,sex,age,marital,Q4,Q5,Q6,Q7,Q15,Q16,Q17,Q18,Q21,Q19,Q24,Q25,Q101_1,Q101_2,Q101_3,Q101_4,Q101_5,Q101_6,Q101_7,Q101_8,Q101_9,Q101_10,Q101_11,Q101_12,Q101_13,Q101_14,Q101_15,Q101_16,Q101_17,Q101_18,Q101_19,Q101_20,Q48,Q95_1,Q95_2,Q95_3,Q95_4,Q95_5,Q95_6,Q95_7,Q95_8,Q95_9,Q95_10,Q95_11,Q95_12,Q95_13,Q95_14,Q95_15,source01
1246,1,20,2,1,3,1,2,1,1,1,1,2,1,2,2,1,0,5,5,2,2,4,4,3,3,2,2,2,4,2,4,5,2,3,2,3,3,2,3,4,4,4,4,3,4,5,5,5,5,5,5,1
1322,1,20,2,1,4,1,2,1,2,2,2,1,9,2,4,1,0,4,5,1,3,4,4,2,4,1,4,4,5,2,5,5,2,5,3,4,5,5,5,2,5,5,5,5,5,5,2,3,4,3,5,1
1341,1,20,2,1,2,1,2,1,2,2,2,2,9,1,1,1,0,5,5,3,3,4,5,2,2,3,4,4,5,2,5,5,3,4,1,3,1,3,1,5,5,5,5,5,5,2,2,4,4,5,5,1
1104,2,21,2,1,2,2,1,1,1,1,1,1,9,3,2,1,1,2,2,2,1,1,5,5,1,2,2,2,3,2,1,3,2,2,2,4,1,1,1,4,4,4,4,4,4,4,3,4,4,5,5,1
1138,2,21,2,1,2,2,2,1,1,2, ,2,3,1,1,1,1,2,2,1,1,1,4,1,1,1,1,1,2,1,2,2,1,2,2,4,2,2,4,4,4,4,3,4,4,4,3,5,5,4,5,1
1377,2,21,2,1,2,2,2,1,1,2,2,2,9,1,1,0,0,5,4,2,1,4,3,3,2,2,2,2,2,1,2,4,1,2,2,2,2,2,2,5,5,5,4,5,5,3,4,4,4,4,5,1
1378,2,21,2,1,3,2,2,1,1,2,2,2,9,2,2,0,0,4,1,2,1,1,1,5,4,1,5,1,5,1,5,5,1,5,5,1,3,3,3,5,4,5,5,5,5,5,1,5,1,5,5,1
1232,1,23,2,1,3,1,3,1,1,2,2,1,1,2,3,1,0,3,4,1,3,4,5,3,3,1,1,1,1,1,1,4,2,2,1,4,2,3,3,3,3,4,4,4,5,5,4,5,5,5,5,1
1135,2,35,2,1,2,3,2,1,1,2,2,2,9,1,1,1,1,3,1,2,1,2,5,1,1,1,1,1,1,1,1,1,1,1,1,3,4,2,2,2,1,3,3,3,3,2,2,5,4,5,5,1
1105,1, ,2,1,2,1,1,1,2,1,2,1,9,1,1,1,1,2,3,3,2,2,2,2,1,1,1,3,1,1,1,1,1,1,1,2,4,4,3,3,3,2,2,2,4,4,4,4,4,4,4,1
1173,2,18,2,1,2,2,1,2,2,2,2,2,9,1,2,1,0,4,2,2,3,4,3,2,2,2,2,1,2,2,2,2,2,2,2,4,2,2,3,4,4,4,4,2,3,5,4,4,4,3,4,1
1175,2,18,2,1,2,1,1, , ,2, ,2,9, , ,1,0,2,2,2,2,2,3,2,2,2,3,2,3,2,2,3,2,3,3,3,4,4,2,3,4,3,3,3,3,3,4,4,4,4,4,1
1264,2,18,2,1,2,2,1,1,1,1,1,2,1,1,1,1,0,3,2,3,2,3,4,3,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,3,4,4,4,4,4,4,3,4,4,3,4,1
1395,1,18,2,1,3,1,2,1,1,2,2,2,1,2,2,0,0,5,5,2,2,4,3,1,1,1,4,4,5,1,5,5,1,5,1,4,3,3,4,3,2,2,2,1,1,4,4,5,4,3,4,1
1123,1,19,2,1,2,1,1,2,2,2,2,2,9,2,1,1,1,3,3,4,2,2,4,2,3,4,3,2,3,2,3,3,3,3,2,4,2,3,4,4,4,4,4,4,4,4,2,4,4,4,4,1
1176,2,19,2,1,2,3,2,1,1,2, ,2,4,2,2,1,0,2,4,2,1,1,3,3,2,1,2,1,3,1,3,3,1,3,2,1,3,3,4,5,4,5,4,5,4,2,2,3,3,4,4,1
1313,2,19,2,1,3,2,2,1,2,2, ,2,1,3,3,0,0,3,4,2,4,4,4,2,2,1,2,2,4,1,4,4,2,4,2,4,2,2,4,5,4,4,4,4,5,4,4,5,5,4,4,1
1316,2,19,2,1,2,3,2,1,1,1,1,2,2,2,3,0,0,4,2,2,2,4,4,2,2,3,2,2,3,1,3,3,2,3,2,4,2,2,3,4,4,2,2,2,4,5,2,4,4,4,4,1
1125,2,20,2,1,2,1,1,1, ,1, ,2,9,1,2,1,1,3,4,4,2,2,4,2,2,1,1,2,3,1,2,4,2,2,1,4,4,4,4,5,4,5,4,2,5,4,2,4,3,4,4,1
1193,2,20,2,1,2,3,2,2,2,2, ,2,1,1,1,1,0,2,2,4,1,3,4,2,2,1,2,2,2,1,2,3,1,2,2,4,2,4,3,5,4,4,4,2,5,3,4,5,3,5,4,1
1272,2,20,2,1,2,1,3,2,2,2,2,2,2,1,3,1,0,4,4,2,1,1,4,4,2,2,2,1,4,2,4,4,1,2,4,4,4,4,4,5,3,4,4,4,4,4,2,5,2,5,4,1
1289,1,20,2,1,2,1,2,1,2,2, , ,4,3,2,0,0,4,4,4,1,1,4,3,1,1,2,2,3,2,2,4,2,3,2,4,2,4,4,4,4,4,4,4,4,4,3,4,4,4,4,1
1112,1,21,2,1,2,1,2, , ,2, ,2,1,2,1,1,1, ,2,2,1,1,2,2,1,1, ,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,2,3,3, ,5,5,4,4,4,1
1157,1,21,2,1,2,3,2,2, ,2, ,2,9,1,1,1,0,4,4,4,1,1,2,4,2,1,4,2,2,1,2,4,1,3,4,1,3,3,3,4,1,4,2,2,4,4,2,4,3,5,4,1
1184,2,21,3,1,2,2,2,1,2,2, ,2,9,2, ,1,0,3,3,3,2,3,4,2,2,1,2,2,2,1,2,2,2,2,2,3,3,4,5,3,4,3,4,4,4,2,2,3,2,3,4,1
1260,2,21,2,1,2,2,1,1,1,1,1,2,1,2,1,1,0,4,2,1,1,2,1,2,2,2,1,4,2,1,1,4,1,2,2,3,4,4,4,4,4,4,4,4,4,2,2,5,5,4,4,1
1102,2,23,1,1,2,2,2,1,2,1,2,2,9,1,1,1,1,1,3,2,1,3,4,2,1,1,1,2,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,1,1,3,1,4,3,4,4,1
1111,1,23,1,1,3,2,2,1,2,2, ,2,1,2,2,1,1,1,1,1,1,2,4,1,1,1,1,2,1,1,1,2,1,1,4,5,5,4,4,4,2,5,1,5,4,5,3,5,4,3,4,1
1361,2,25,2,1,2,3,2,1,2,1,2,2,9,1,1,0,0,5,5,4,3,4,3,3,5,2,2,1,3,1,3,4,2,4,1,3,3,4,4,4,4,5,5,5,5,4,2,3,3,4,4,1
1116,2,26,2,1,2,2,2,1,2,2,2, ,9,2,1,1,1,2,2,1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,2,4,4,3,4,4,4,4,4,3,2,5,4,4,5,2,4,1
1245,1,26,2,1,2,3,2,1,1,2, ,1,3,4,5,1,0,4,4,2,2,2,5,1,2,1,1,1,2,1,3,4,1,1,1,4,4,4,4,4,5,5,5,5,5,4,4,4,4,2,4,1
1091,2,27,2,1,2,1,2,1,2,1,2,2,1,3,5,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,2,2,4,2,2,2,4,4,4,4,4,4,3,3,3,3,4,4,1
1130,1,27,2,1,3,2,2,2, ,1,2,2,2,2,2,1,1,2,3,3,3,3,2,3,1,3,2,2,2,1,3,3,1,3,2,3,3,3,3,3,3,4,3,2,2,4,4,4,4,4,4,1
1226,2,27,2,1,2,1,1,2, ,2, ,2,1,1,2,0,0,4,4,4,2,2,3,2,3,2,4,3,4,4,4,4,3,3,3,3,3,4,3,4,4,4,4,4,4,3,3,4,3,4,4,1
1140,2,29,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1,2,2,3,4,4,5,3,1,1,2,2,2,1,1,3,1,2,2,4,2,4,3,4,4,4,4,2,4,5,3,4,4,5,4,1
1134,2,30,1,1,2,3,1,1,2,2,2,2,9,2,1,1,1,4,4,4,4,4,4,4,3,1,4,2,4,2,4,4,4,3,1,3,4,4,4,5,5,2,4,3,5,3,3,5,2,5,4,1
1390,1,30,2,1,2,3,2,1,2,2, ,2,9,1,2,0,0,3,1,5,2,4,4,4,1,4,1,1,1,1,1,1,1,1,1,1,3,3,3,4,4,4,2,4,5,2,2,2,2,3,4,1
1098,2,35,1,1,2,1,1,1,2,2,2,2,1,1,1,1,1,4,4,2,4,4,3,3,2,2,2,2,2,1,1,2,1,2,2,4,3,3,2,4,3,4,4,2,5,4,3,4,2,4,4,1
1306,2,35,2,1,3,2,2, , ,2, ,2,1,2,1,0,0,4,5,3,4,4,3,3,2,2,2,1,2,1,1,2,1,2,2,3,4,4,3,4,4,4,4,4,4,4,4,4,4,5,4,1
1195,1,39,2,1,2,1,1,1,1,1,1,2,1,1,2,1,0,3,4,3,1,1,4,1,1,1,1,1,1,1,2,2,1,2,1,4,2,3,4,4,5,3,3,3,5,5,3,5,3,4,4,1
1122,2,43,2,1,2,2,2,1,1,2,2,2,3,2,3,1,1,3,4,2,1,1,4,3,2,2,2,2,3,1,1,3,2,3,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,1
1139,2,50,1,1,2,2,1,2, ,2, ,2,1,1,1,1,1,3,3,5,3,3,5,3,1,1,1,2,2,2,2,2,1,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,4,4,1
1085,2,18,2,1,3,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,5,1,1,1,1,4,1,5,5,5,5,5,5,5,5,1,4,4,1,3,1
1206,2,18,2,1,2,2,2,2, ,2, ,2,9,1,1,0,0,3,3,2,1,4,1,2,2,1,3,2,3,1,3,3,1,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,4,4,3,1
1283,1,18,2,1,4,1,1,2, ,2, ,2,2,1,2,0,0,4,4,3,2,5,2,2,1,3,1,1,3,2,3,3,2,3,2,4,2,2,3,4,5,4,3,3,3,3,3,4,3,3,3,1
1314,2,18,1,1,2,2,1,1,1,2,2,2,9,1,1,0,0,4,3,3,3,3,3,2,3,1,2,2,2,1,2,4,2,2,2,3,4,4,4,4,3,4,4,4,4,4,3,4,3,3,3,1
1133,2,19,2,1,2,1,1,1,2,2, ,2,9,2,2,1,1,2,4,3,1,1,4,3,2,2,2,2,3,2,3,3,2,3,2,4,3,4,4,5,4,4,4,4,5,4,3,4,4,2,3,1
1185,2,19,2,1,2,2,2,1,1,2,2,2,9,1,1,1,0,3,2,2,4,4,2,2,2,2,3,2,3,2,3,3,2,3,2,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,1
1215,2,19,2,1,2,1,1,2, ,2, ,2,1,1,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,3,3,3,3,3,3,1
1279,2,19,2,1,2,1,1,1,1,2, ,2,1,1,1,1,0,3,3,2,1,2,4,2,3,2,2,2,3,3,3,3,2,3,2,4,3,3,3,3,4,3,3,3,4,2,2,5,3,4,3,1
1288,2,19,2,1,2,2,1,1, ,1, ,2,9,1,1,0,0,3,4,2,3,3,3,3,3,2,2,2,2,2,2,3,2,3,3,3,3,3,3,4,4,4,4,4,4,3,3,4,3,2,3,1
1132,2,20,2,1,2,3,2,2,2,2,2, ,1,1, ,1,1,2,2,3,5,5,2,2,2,2,2,2,2,2,3,4,2,2,3,3,2,3,2,4,2,4,2,2,4,4,2,4,2,3,3,1
1188,2,20,2,1,3,1,2,2, ,2,2,2,3,2,4,1,0,4,4,2,4,3,5,2,3,3,3,2,3,2,3,4,2,3,2,4,4,4,4,4,4,4,4,4,4,4,2,4,4,3,3,1
1192,2,20,2,1,2,3,2,1,1,2,2, ,1,2,1,1,0,3,3,1,1,2,3,2,3,1,2,2,3,1,3,3,1,2,2,4,4,3,4,4,4,3,4,3,3,4,3,3,4,4,3,1
1217,1,20,2,1,2,1,1,2,2,2,2, ,9,2,3,0,0,3,3,2,2,2,3,3,2,1,2,2,3,1,3,3,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1
1218,1,20,2,1,2,2,1, , ,2,2, ,1,2,2,0,0,3,3,2,3,3,2,3,2,3,2,3,3,1,3,3,2,3,2,3,4,4,4,4,3,4,3,3,4,4,3,4,4,3,3,1
